Measuration,Hard Coal Pc without CCS,Hard Coal IGCC without CCS,Hard Coal SC without CCS,Natural Gas NGCC without CCS,Hard Coal Pc with CCS,Hard Coal IGCC with CCS,Hard Coal SC with CCS,Natural Gas NGCC with CCS,Hydro 600 MW,Hydro 360 MW,Nuclear average,CSP tower,CSP trough,PV poly-Si ground-mounted,PV poly-Si roof-mounted,PV CdTe ground-mounted,PV CdTe roof-mounted,PV CIGS ground-mounted,PV CIGS roof-mounted,Wind onshore,Wind offshore concrete foundation,Wind offshore steel foundation
Lifecycle GHG emissions (g CO2 eq. per kWh),963.1504186984498,836.8713893535954,952.9861924657858,445.94035614103865,341.7182182591828,239.81895580401454,320.4293471414475,152.8664550173324,123.98663717790441,8.276913163278564,5.6841424212061975,53.780242004825986,74.14171858791353,50.14929194449129,43.111912075534086,16.13229258253666,21.758227839300076,18.55636786529127,19.754643014652554,11.345264353401477,18.135661367581793,17.016632367437655
Lifecycle eutrophying emissions (g P eq. per MWh),585.5579156122412,526.4061529219904,674.6092832175895,15.12891787293759,1081.5967462707497,854.9099724438129,798.984320982664,22.1735225537624,10.80041749377036,1.0044401982948779,6.528230581993161,19.818485763729722,22.586156632522535,45.77595684284713,63.06468128651165,13.536980748059683,24.125844104605374,12.512378631441933,20.526569915423657,6.524818343400498,8.051459992416284,8.97651198536684
Lifecycle human toxicity potential non-carcinogenic (CTUh per TWh),79.98308981009843,74.20075931132617,78.72676690297814,11.950621405952186,127.47008691168634,89.22452617326512,120.31879063977982,19.268197770506706,15.909372903066,1.1282547053306256,5.31593674892986,3.9562503950367405,7.447941651732575,12.577187468153527,20.94338735127617,5.6417812876021705,13.861572847110162,6.17792463342031,10.841339877634455,2.820506216514603,4.166214278495147,4.100463084294627
Lifecycle human toxicity potential carcinogenic (CTUh per TWh),5.558690716007081,5.085654747091395,5.636389061289289,3.273493207734831,8.432337284999102,6.947761004607588,7.956417344474029,3.8684333064882206,2.039523624084369,0.2865806755894114,0.5163979226211551,4.865839607247387,10.703229501723042,6.513365453278047,2.490233182749733,5.623266192502268,1.8171526983810933,5.557852526047185,1.6516347445569126,6.329569382914838,6.88258452526755,8.814158168167758
Lifecycle land use (points per kWh),2.1561302385241565,1.7593295589256044,2.2614031984503393,0.522022878749051,3.015231046585298,2.540746728976918,2.810655143195962,0.09485949300668645,1.8655800263477051,0.1658123509731602,0.057999905395018696,8.659027334978587,6.812336728923829,2.3755891563562583,1.1428698198959817,2.167439599917541,0.20992085588515166,1.9686392607107652,0.21998494919711745,0.10691463467878619,0.14397343754872047,0.11611226891645837
Lifecycle dissipated water (l per kWh),2.639786822805901,1.803786124907531,2.7770873620661143,1.0807877679226179,5.258535164166758,2.8255505209413267,5.008791129891926,1.8357138513474662,0.28082892416531835,0.029329246947936788,2.3999999999999995,0.537936973852644,0.8239499046156871,1.33043106061289,1.4382618417242303,0.21603487809973074,0.3453191329769804,0.23522662007145148,0.24121110055566994,0.15489150953293418,0.14939413836565996,0.15244634399873777
Lifecycle mineral and metal requirement (g Sb eq. per MWh),0.4352685734565452,0.476088879133623,0.4166349828250384,0.34163341396894614,0.6579261380348554,0.5857273002151558,0.5977700756540404,0.32609804642514845,0.47535888370211726,0.04710888314770356,0.3853880421561076,0.6818595282899418,1.0700508008454492,6.861618298412495,9.027535355172692,2.2035741872781,4.539987975460815,2.614382160935171,3.588480391164261,0.6378518787967717,1.228372283061888,1.21968108663263
